Position, Track Name, "Artist", URL
1,"I Used to Care","Louyah",https://open.spotify.com/track/2z9tQz4ygexOYb2SnCPCnP
2,"Bezos I","Bo Burnham",https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
3,Beggin',"Måneskin",https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
4,"Fancy Like","Walker Hayes",https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
5,"My Potna Dem","$ilkMoney",https://open.spotify.com/track/7uWdDOhI3wydISWM1AXN0M
6,"I WANNA BE YOUR SLAVE","Måneskin",https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
7,"rises the moon","Liana Flores",https://open.spotify.com/track/51Grh1RyUDcMBbpuyUIUHI
8,GYALIS,"Capella Grey",https://open.spotify.com/track/7wpyrkjEgz7W1vNYDxMKrF
9,"Just a Friend","Biz Markie",https://open.spotify.com/track/1MQCTOWVfy4PcuBXkBsHVB
10,"As the World Caves In","Sarah Cothran",https://open.spotify.com/track/7LAmsNJpBaNvNg7VZPXxSv
11,"Ride the Lightning (717 Tapes)","Warren Zeiders",https://open.spotify.com/track/6bVZ8tOT8S6wrXJl83zEHU
12,"Ain't Shit","Doja Cat",https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
13,Duvet,"bôa",https://open.spotify.com/track/7urtwZEtOypb3r8HNi42dT
14,"Running Away","VANO 3000",https://open.spotify.com/track/2lDODk7inZnmUHbIjUnIwP
15,Touchable,"Remble",https://open.spotify.com/track/24iwskv8LDFMYRZ6Sr9iyw
16,"in heat.","Hentai Xander",https://open.spotify.com/track/6T3sH1EuBMijU1MHe2WFJt
17,Shit,"Bo Burnham",https://open.spotify.com/track/2xQShwyOMYlX10w8dxbFX1
18,"Essence (feat. Tems)","WizKid",https://open.spotify.com/track/5FG7Tl93LdH117jEKYl3Cm
19,Pears,"Weston Estate",https://open.spotify.com/track/06nKF46jG8p1zwyP4ziAyG
20,Beethoven,"Kenndog",https://open.spotify.com/track/5V7eE5xpJKbBCnzlO4JSNc
21,"Love Tonight - David Guetta Remix Edit","Shouse",https://open.spotify.com/track/2prnn41CblB8B4yWACDljP
22,"All Eyes On Me","Bo Burnham",https://open.spotify.com/track/3rV5y8rcQrwRt9fWGLmjOQ
23,"Tiroteo - Remix","Marc Seguí",https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
24,Pain,"PinkPantheress",https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
25,"Welcome to the Internet","Bo Burnham",https://open.spotify.com/track/25AvaE23MXl06YRtQcQoJS
26,"Bad Habits","Ed Sheeran",https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
27,Pepas,"Farruko",https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
28,"Antisocial 2","BabySantana",https://open.spotify.com/track/4ULs3UigRxfcUZ1W9fJ8XE
29,Spaceship,"evisu",https://open.spotify.com/track/2cCyRbHI5YrvkkPwrwX4cP
30,"flowers & sex","EMELINE",https://open.spotify.com/track/2Gp6Q9EDhcNHcJiPctBCmk
31,"My Jesus","Anne Wilson",https://open.spotify.com/track/0KNvJzxdbslBddN27BEhfm
32,Antisocial,"Slump6s",https://open.spotify.com/track/2dQa4RNT22zCHGSingau85
33,"Buy Dirt","Jordan Davis",https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
34,"Last Train Home","John Mayer",https://open.spotify.com/track/0tgBtQ0ISnMQOKorrN9HLX
35,NUMB,"Chri$tian Gate$",https://open.spotify.com/track/1BPBwKueIEMnUcbbs2te7B
36,"After Dark","Mr.Kitty",https://open.spotify.com/track/0zCgWGmDF0aih5qexATyBn
37,"t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW",https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
38,"Colt 45 (Country Remix)","Cooper Alan",https://open.spotify.com/track/0kgRRHa5CMeCciIgYT67re
39,Loverboy,"A-Wall",https://open.spotify.com/track/3CboywxfJIgvHqi2FF4exb
40,A-O-K,"Tai Verdes",https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP
41,"You Right","Doja Cat",https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
42,"Je te laisserai des mots","Patrick Watson",https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
43,Vapors,"Biz Markie",https://open.spotify.com/track/76oB6OFO1i4UFHL9rUXRlh
44,2055,"Sleepy Hallow",https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
45,"Bezos II","Bo Burnham",https://open.spotify.com/track/4lC0p6LexMrLx7kWUJcNwM
46,"MMM MMM (feat. ATL Jacob)","Kali",https://open.spotify.com/track/7GLqR9ToJLb0PV3XyNAWNm
47,"dancing in the kitchen","LANY",https://open.spotify.com/track/0ohcCrxZkBfFbkuRPOZQZX
48,Mónaco,"LAGOS",https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
49,"Love Tonight - Edit","Shouse",https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
50,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
